Orsay: 2.1874811; 48.6991805!
Bry-sur-Marne: 2.5216259; 48.8394047!
Carquefou: -1.4921233; 47.2971979!
Quimper: -4.1024782; 47.9960325!
Enghien-les-Bains: 2.3068482; 48.9699732!
Aulnay-sous-Bois: 2.5058071; 48.9396485!
Nanterre: 2.2071267; 48.8924273!
Vichy: 3.4203712; 46.1239268!
Guyancourt: 2.07549; 48.7729!
Albert: 2.6481281; 50.0050961!
Freyming-Merlebach: 6.8031117; 49.1479451!
Mont-Saint-Aignan: 1.0813; 49.4679!
Épinay-sur-Seine: 2.3145039; 48.9525181!
Verdun: 5.3867277; 49.1589278!
Les Ulis: 2.1690093; 48.6805587!
Ozoir-la-Ferrière: 2.676; 48.7638!
Comines: 3.0147; 50.749!
Guéret: 1.8713349; 46.1686865!
Berck: 1.570879; 50.4050674!
Longwy: 5.7681606; 49.5169254!
Brie-Comte-Robert: 2.6166737; 48.6904522!
Rombas: 6.0949742; 49.2502303!
Villiers-le-Bel: 2.3983967; 49.0075433!
Pontault-Combault: 2.61431; 48.7884!
Carvin: 2.9577519; 50.4934145!
Chevilly-Larue: 2.3624818; 48.768192!
Cugnaux: 1.3457537; 43.5369936!
Talant: 5.0047641; 47.3359617!
Ambarès-et-Lagrave: -0.4980333; 44.9445006!
Les Lilas: 2.415796; 48.8795658!
Morangis: 2.3367599; 48.7022956!
Draveil: 2.4212; 48.6787!
Kingersheim: 7.3386856; 47.7923002!
Faches-Thumesnil: 3.07133; 50.5936!
Deuil-la-Barre: 2.32738; 48.9721!
Sanary-sur-Mer: 5.8022906; 43.1180387!
Jarville-la-Malgrange: 6.2057744; 48.6680055!
Castres: 2.2417954; 43.6036776!
Port-de-Bouc: 4.9806998; 43.403098!
Auxerre: 3.58452; 47.7954001!
Tremblay-en-France: 2.5589558; 48.9802035!
Alès: 4.0852818; 44.1253665!
Limeil-Brévannes: 2.4867977; 48.7464991!
Villemomble: 2.5105095; 48.8847875!
Saintes: -0.6299329; 45.7420801!
Montesson: 2.1502476; 48.9117502!
Hautmont: 3.9200611; 50.2513704!
Les Pavillons-sous-Bois: 2.5034999; 48.9082988!
Villeneuve-le-Roi: 2.4179723; 48.7349054!
Montigny-le-Bretonneux: 2.0249424; 48.7759215!
Seynod: 6.0992785; 45.8880398!
Vaires-sur-Marne: 2.6333854; 48.8707017!
Ostwald: 7.7102193; 48.5425109!
Rognac: 5.2342903; 43.4872341!
Bron: 4.9092352; 45.7337532!
Persan: 2.2675077; 49.1485881!
Argentan: -0.0223695; 48.7428859!
La Rochelle: -1.1520434; 46.1591126!
Bouc-Bel-Air: 5.4126511; 43.4511274!
Lorient: -3.37958; 47.7504!
Décines-Charpieu: 4.9633314; 45.773606!
Vaulx-en-Velin: 4.9206153; 45.7784255!
Arles: 4.6309653; 43.6776223!
Sainte-Foy-lès-Lyon: 4.7934767; 45.7362255!
Miramas: 5.0025809; 43.582733!
Rumilly: 5.9447721; 45.8672278!
Bois-Colombes: 2.2674892; 48.9148269!
La Garenne-Colombes: 2.2465748; 48.9069349!
Hem: 3.1839429; 50.6540895!
Fontaine: 5.6759709; 45.193603!
Cran-Gevrier: 6.0998829; 45.9020843!
Montmorency: 2.3197111; 48.9891693!
Cernay: 7.1767542; 47.8071991!
Rosny-sous-Bois: 2.4856366; 48.8761957!
Blagnac: 1.37799; 43.6434!
Châtillon: 2.2897124; 48.7997756!
Sarreguemines: 7.0695021; 49.1091944!
Givors: 4.7696529; 45.5844238!
Fontenay-le-Fleury: 2.0461549; 48.8106578!
Tourlaville: -1.5667534; 49.6465139!
Plaisance-du-Touch: 1.2978343; 43.5653012!
Lunel: 4.1348062; 43.6745265!
Villers-lès-Nancy: 6.1453891; 48.6707448!
Sannois: 2.25226; 48.9735001!
Castelnau-le-Lez: 3.9133311; 43.6393171!
Isbergues: 2.4574631; 50.6211244!
Saint-Brice-sous-Forêt: 2.3548273; 49.0030509!
Le Creusot: 4.4297028; 46.808203!
Cosne-Cours-sur-Loire: 2.9273937; 47.4115613!
Longuenesse: 2.24833; 50.7371!
Tassin-la-Demi-Lune: 4.7815787; 45.7635689!
Yvetot: 0.7538866; 49.6179384!
Vitry-sur-Seine: 2.39164; 48.7876!
Neuilly-sur-Seine: 2.2695658; 48.884683!
Tinqueux: 3.98601; 49.2479!
Sallanches: 6.6302551; 45.9361246!
Meudon: 2.2387564; 48.8126229!
Thiers: 3.5489707; 45.855795!
Creutzwald: 6.6893987; 49.19959!
Harnes: 2.9068246; 50.44741!
Lattes: 3.9017114; 43.5653993!
Poitiers: 0.340196; 46.5802596!
